model,ACC,AUC_OVO,G_Mean,CE,total_time_s,dataset,regime
XGBoost_Tuned,0.963333,0.937727,0.884093,0.135417,45.15,churn,medium
CatBoost_Tuned,0.962667,0.934845,0.879127,0.140219,165.42,churn,medium
TabICL,0.978076,0.985276,0.898691,0.078802,1.01,page-blocks,medium
LightGBM_TD,0.974421,0.979562,0.783369,0.15626,0.23,page-blocks,medium
XGBoost_TD,0.974421,0.981518,0.865945,0.110661,0.26,page-blocks,medium
CatBoost_TD,0.97503,0.978856,0.841833,0.094438,2.09,page-blocks,medium
AutoGluon_Default,0.973812,0.982839,0.900053,0.089108,22.39,page-blocks,medium
AutoGluon_Extreme,0.976857,0.984626,0.872385,0.083979,3606.74,page-blocks,medium
LightGBM_Tuned,0.977467,0.980358,0.789736,0.09105,44.92,page-blocks,medium
XGBoost_Tuned,0.979294,0.979684,0.883262,0.09796,95.63,page-blocks,medium
CatBoost_Tuned,0.975639,0.980804,0.811911,0.081097,176.18,page-blocks,medium
TabICL,0.997034,0.999994,0.997015,0.008844,1.86,optdigits,medium
LightGBM_TD,0.983986,0.999791,0.983925,0.054998,0.55,optdigits,medium
XGBoost_TD,0.976275,0.999599,0.976231,0.075773,0.37,optdigits,medium
CatBoost_TD,0.9828,0.999803,0.982739,0.053108,2.81,optdigits,medium
AutoGluon_Default,0.988731,0.999869,0.988622,0.085619,104.48,optdigits,medium
AutoGluon_Extreme,0.991103,0.999947,0.991041,0.065404,3611.02,optdigits,medium
LightGBM_Tuned,0.986951,0.999896,0.98691,0.039725,269.91,optdigits,medium
XGBoost_Tuned,0.982206,0.999847,0.982134,0.051016,207.06,optdigits,medium
CatBoost_Tuned,0.981613,0.999746,0.981553,0.064013,410.34,optdigits,medium
TabICL,0.941939,0.996207,0.921102,0.143786,1.45,satimage,medium
LightGBM_TD,0.922758,0.992237,0.891661,0.261483,0.35,satimage,medium
XGBoost_TD,0.923795,0.992086,0.894984,0.230227,0.35,satimage,medium
CatBoost_TD,0.921721,0.993137,0.891141,0.198311,2.32,satimage,medium
AutoGluon_Default,0.919129,0.993326,0.895267,0.212792,53.16,satimage,medium
AutoGluon_Extreme,0.929497,0.994698,0.902734,0.17472,3597.25,satimage,medium
LightGBM_Tuned,0.919129,0.992924,0.888744,0.293474,140.37,satimage,medium
XGBoost_Tuned,0.922758,0.992804,0.891659,0.2226,149.47,satimage,medium
CatBoost_Tuned,0.918611,0.992241,0.888729,0.207962,277.08,satimage,medium
TabICL,0.0,,0.0,,0.71,isolet,medium
LightGBM_TD,0.0,,0.0,,0.0,isolet,medium
CatBoost_TD,0.0,,0.0,,1.78,isolet,medium
LightGBM_Tuned,0.0,,0.0,36.043653,0.71,isolet,medium
XGBoost_Tuned,0.0,,0.0,36.043653,25.68,isolet,medium
CatBoost_Tuned,0.0,,0.0,36.043653,141.09,isolet,medium
TabICL,1.0,1.0,1.0,1e-06,1.7,mushroom,medium
LightGBM_TD,1.0,1.0,1.0,2.8e-05,0.05,mushroom,medium
XGBoost_TD,1.0,1.0,1.0,0.000722,0.04,mushroom,medium
CatBoost_TD,1.0,1.0,1.0,0.000177,10.98,mushroom,medium
AutoGluon_Default,1.0,1.0,1.0,8e-06,98.17,mushroom,medium
AutoGluon_Extreme,1.0,1.0,1.0,0.000775,3593.84,mushroom,medium
LightGBM_Tuned,1.0,1.0,1.0,1e-06,15.53,mushroom,medium
XGBoost_Tuned,1.0,1.0,1.0,0.000946,18.04,mushroom,medium
CatBoost_Tuned,1.0,1.0,1.0,6.6e-05,180.1,mushroom,medium
TabICL,0.010204,,0.0,,6.3,JapaneseVowels,medium
LightGBM_TD,0.0,,0.0,,1.62,JapaneseVowels,medium
CatBoost_TD,0.020408,,0.0,,34.83,JapaneseVowels,medium
AutoGluon_Default,0.0,,0.0,,98.62,JapaneseVowels,medium
AutoGluon_Extreme,0.020408,,0.0,,3973.46,JapaneseVowels,medium
LightGBM_Tuned,0.030612,,0.0,28.735295,324.57,JapaneseVowels,medium
XGBoost_Tuned,0.030612,,0.0,28.764331,1108.1,JapaneseVowels,medium
CatBoost_Tuned,0.030612,,0.0,28.792664,1291.72,JapaneseVowels,medium
TabICL,0.997574,0.999589,0.99752,0.015503,1.78,pendigits,large
LightGBM_TD,0.99151,0.999337,0.991524,0.054,0.53,pendigits,large
XGBoost_TD,0.988478,0.999546,0.988443,0.041041,0.42,pendigits,large
CatBoost_TD,0.991207,0.999508,0.991299,0.033324,2.93,pendigits,large
AutoGluon_Default,0.995149,0.999612,0.995183,0.025649,84.48,pendigits,large
AutoGluon_Extreme,0.994845,0.999566,0.994892,0.025731,3627.57,pendigits,large
LightGBM_Tuned,0.990297,0.999553,0.990231,0.049986,216.75,pendigits,large
XGBoost_Tuned,0.9906,0.999574,0.990595,0.035755,241.61,pendigits,large
CatBoost_Tuned,0.99151,0.999473,0.991582,0.033481,430.75,pendigits,large
TabICL,0.999486,1.0,0.999687,0.000845,1.67,nursery,large
LightGBM_TD,0.941101,0.829779,0.003743,1.467046,0.23,nursery,large
XGBoost_TD,0.999743,0.983163,0.003981,0.004533,0.21,nursery,large
